StudentID,TotalScore,Chinese,Math,English
5434121,93,36,31,26
1623921,96,39,17,40
5180614,97,3,62,32
1013296,102,44,40,18
4239676,109,3,47,59
3568222,114,44,23,47
5848293,117,37,20,60
8878065,118,23,53,42
2936846,118,87,5,26
7829039,120,17,61,42
6622139,120,32,37,51
5175070,121,33,61,27
6866807,121,43,36,42
4113320,122,15,68,39
7262646,122,57,30,35
4591430,124,5,60,59
4049189,125,22,79,24
3819463,125,60,38,27
6302039,125,71,54,0
3206983,126,37,56,33
4333944,126,45,35,46
1477160,126,54,53,19
5228842,127,9,82,36
4967047,127,27,79,21
3933072,128,22,38,68
7133434,128,30,43,55
3510890,129,27,80,22
7916444,129,45,25,59
5769011,129,52,34,43
2301730,129,54,54,21
9742547,129,60,58,11
5156900,129,62,44,23
4024331,129,73,39,17
7478421,130,31,51,48
9761792,130,47,43,40
1952145,130,54,46,30
9265085,131,38,33,60
1533593,131,76,28,27
8729988,132,21,91,20
5755744,132,22,32,78
4769099,132,38,57,37
5264826,132,48,48,36
6864612,132,57,59,16
7251921,132,60,50,22
9207434,132,69,34,29
8750613,133,13,37,83
1448674,133,36,55,42
2311084,134,20,23,91
7598758,134,28,56,50
6544216,134,33,40,61
4059079,134,40,36,58
7447398,134,55,63,16
5539021,134,58,37,39
1704824,135,55,31,49
2388595,135,58,18,59
6661338,136,47,49,40
2548875,136,47,63,26
6535094,136,63,37,36
9916063,137,60,47,30
2558276,138,24,46,68
8301152,138,33,43,62
7610148,138,40,48,50
1504228,138,52,44,42
3844939,138,56,16,66
8352769,138,61,38,39
8032732,138,63,52,23
9797804,138,64,14,60
7111174,138,68,39,31
2898266,138,70,29,39
9003704,139,30,58,51
7317713,139,45,34,60
2625182,139,48,49,42
5728830,139,52,49,38
3659915,139,53,48,38
8719661,139,54,46,39
5330856,139,65,43,31
6740639,140,12,100,28
8882687,140,42,56,42
7248504,140,45,49,46
1970405,140,52,27,61
1383631,140,63,42,35
8427009,141,11,70,60
3947244,141,39,50,52
1672212,141,40,27,74
3674262,141,41,55,45
3271761,141,68,44,29
9589657,142,13,66,63
3982300,142,24,56,62
4882111,142,29,68,45
5160549,142,31,65,46
8593987,142,36,58,48
7047548,142,45,50,47
9026255,142,54,37,51
1112004,142,57,34,51
6206173,142,64,35,43
3067208,142,75,36,31
2845040,142,77,51,14
2497323,142,85,21,36
9425785,143,34,71,38
7178899,143,39,36,68
1613818,143,43,43,57
7857284,143,50,45,48
6484921,143,54,25,64
9203575,143,54,27,62
4731365,143,55,49,39
8913989,143,57,40,46
6772197,143,78,37,28
7255399,143,80,19,44
2564211,144,11,69,64
7926374,144,28,47,69
9597296,144,34,51,59
8877574,144,47,59,38
4352879,144,48,57,39
2434986,144,66,22,56
1832238,145,18,62,65
7978769,145,19,76,50
6754903,145,44,81,20
8869482,145,46,54,45
1430105,145,49,38,58
6581200,145,50,58,37
4836268,145,52,27,66
4617747,145,69,47,29
1762190,146,27,57,62
7933238,146,32,39,75
7907598,146,35,55,56
2320680,146,39,66,41
8980701,146,45,58,43
6422158,146,49,33,64
1937212,146,49,49,48
3196238,146,50,50,46
7236235,146,51,11,84
6336457,146,56,50,40
3306554,146,57,44,45
5281098,146,71,29,46
6573415,146,86,32,28
8131963,147,38,63,46
1749702,147,39,67,41
6786419,147,53,50,44
7127727,147,56,37,54
3918039,147,60,34,53
8438278,147,67,47,33
8479541,147,69,27,51
1715839,147,81,47,19
7222658,147,91,19,37
2259941,148,29,54,65
3694171,148,34,57,57
8381674,148,36,65,47
8732116,148,42,52,54
4885827,148,49,51,48
1382604,148,58,30,60
1787208,148,59,33,56
1988059,148,59,40,49
8598873,148,61,54,33
6348455,148,70,32,46
7414788,148,71,64,13
5446800,148,73,39,36
2682589,148,95,29,24
6432133,149,23,73,53
5416606,149,24,63,62
7234109,149,26,65,58
7035071,149,26,85,38
3446863,149,32,69,48
2779136,149,35,54,60
4246052,149,43,43,63
4726760,149,50,42,57
6368590,149,52,75,22
6177918,149,59,41,49
7465338,149,60,89,0
3203996,149,62,29,58
9301547,149,66,46,37
8214248,149,84,30,35
2552220,150,7,93,50
7308011,150,24,64,62
1468661,150,25,71,54
3422324,150,26,49,75
8589236,150,27,59,64
4557783,150,32,56,62
9602859,150,32,69,49
3152423,150,47,65,38
3590333,150,50,36,64
7139320,150,51,40,59
8503844,150,56,70,24
9624903,150,58,61,31
2515345,150,59,69,22
3298438,150,60,44,46
9913376,150,62,32,56
3015651,150,63,35,52
8724386,150,65,39,46
4477445,150,72,61,17
8571622,151,36,43,72
2814356,151,39,35,77
1009631,151,44,54,53
8861869,151,48,36,67
6708952,151,50,29,72
7747380,151,51,64,36
6475209,151,53,50,48
8632054,151,53,68,30
9400812,151,59,48,44
1382556,151,60,58,33
4673890,151,61,57,33
2492428,151,64,66,21
8338968,151,65,51,35
8248381,151,66,33,52
4882838,151,71,30,50
4064425,151,72,30,49
2318084,152,5,82,65
9932305,152,24,71,57
4080580,152,25,56,71
9638854,152,34,67,51
5180309,152,51,58,43
6829504,152,53,28,71
5574834,152,60,44,48
2202585,152,61,80,11
2449435,152,63,44,45
7552178,152,63,45,44
9798534,152,67,68,17
1434515,152,67,72,13
6043103,153,31,85,37
8548247,153,33,46,74
9826316,153,33,46,74
8807182,153,34,31,88
5881379,153,34,50,69
3641406,153,38,45,70
7836911,153,49,52,52
2257996,153,49,53,51
4876647,153,49,93,11
6136861,153,56,60,37
3234202,153,57,46,50
7576336,153,59,58,36
1015915,153,64,31,58
2881326,153,66,34,53
6210652,153,74,47,32
5013024,154,26,72,56
5226578,154,34,66,54
6164738,154,36,52,66
1366935,154,37,63,54
6259639,154,38,29,87
7130508,154,38,73,43
6022584,154,42,70,42
8114584,154,44,77,33
