StudentID,TotalScore,Chinese,Math,English
1848913,351,132,119,100
5843935,351,101,123,127
9966386,348,130,108,110
3946584,342,117,84,141
7183678,338,121,87,130
8962336,337,104,103,130
1422044,334,101,138,95
6816882,333,133,114,86
1900594,332,120,101,111
5618483,330,100,115,115
3085597,330,86,120,124
7309104,329,106,101,122
6340368,325,102,111,112
9506631,325,101,101,123
1798023,324,115,110,99
1346570,324,113,104,107
1194879,324,95,113,116
3818453,323,113,100,110
9468814,323,77,129,117
2988639,321,123,86,112
7125546,321,119,90,112
1780259,321,98,83,140
5583370,321,95,122,104
4269277,321,88,106,127
2813480,320,134,96,90
8992559,320,99,98,123
4898246,319,113,117,89
6363834,319,110,103,106
6200994,319,103,114,102
6772079,319,101,97,121
3774856,319,90,133,96
6496982,319,87,113,119
1863661,318,98,100,120
4388141,317,129,95,93
7907676,317,102,96,119
5666553,316,111,120,85
1626023,316,108,122,86
4492441,316,81,99,136
5677187,315,122,91,102
8691671,315,107,97,111
5998353,315,104,101,110
5144388,315,91,74,150
6979086,315,84,129,102
3554191,314,113,112,89
4109043,314,110,86,118
1702971,314,106,108,100
5839519,314,84,130,100
2210658,313,106,78,129
8329422,313,102,97,114
3727618,313,90,133,90
2933142,312,111,95,106
6780812,312,104,95,113
5809543,312,85,117,110
3363651,312,69,99,144
9339594,311,113,117,81
7958623,310,121,77,112
7890756,310,118,100,92
8175075,310,118,80,112
3603427,310,106,86,118
3365617,310,103,107,100
2028536,310,103,97,110
8222391,310,101,114,95
8424965,310,95,136,79
7910460,309,121,100,88
8374193,309,121,94,94
9117513,309,121,71,117
2239940,309,119,86,104
8749225,309,117,113,79
6754902,309,117,107,85
5954726,309,114,112,83
5423464,309,89,91,129
1601646,309,76,114,119
5477972,308,134,94,80
3675221,308,133,90,85
3839130,308,128,90,90
9673296,308,116,97,95
4252257,308,114,96,98
7040045,308,111,83,114
5564625,308,90,109,109
5835372,307,126,95,86
7609772,307,119,112,76
8903458,307,113,94,100
7717212,307,102,101,104
7295802,307,93,90,124
6420638,307,81,124,102
1805619,307,57,104,146
7401531,306,120,95,91
4173097,306,106,102,98
6361106,306,98,88,120
1842382,306,96,106,104
5384796,306,94,72,140
4987097,306,92,116,98
5387486,306,88,122,96
2327136,306,87,69,150
1624073,306,78,105,123
9129059,305,119,95,91
6327018,305,118,90,97
1152944,305,116,104,85
3256181,305,93,111,101
4848638,305,90,97,118
9111355,305,84,88,133
3277680,305,82,107,116
3870398,304,123,116,65
3757113,304,119,92,93
6447008,304,112,95,97
1378457,304,110,110,84
7129180,304,110,95,99
2284777,304,108,111,85
7926374,304,105,107,92
9485581,304,101,91,112
7580719,304,91,131,82
7862913,304,87,118,99
3767484,304,74,126,104
1431657,304,74,112,118
3637775,303,125,92,86
9809252,303,116,95,92
9922215,303,102,81,120
7490356,303,100,90,113
1687161,303,96,63,144
5907336,303,95,79,129
4737073,303,92,107,104
5335526,303,79,108,116
2131436,303,75,104,124
4108982,302,115,91,96
9260051,302,115,79,108
5439667,302,105,112,85
9043540,302,105,101,96
1756318,302,104,68,130
9231308,302,103,100,99
8533593,302,99,107,96
6520397,302,98,121,83
7604434,302,84,118,100
4430395,301,128,71,102
4908333,301,113,89,99
7587258,301,111,86,104
1340960,301,109,90,102
6643773,301,107,87,107
6328958,301,102,110,89
6837346,301,83,102,116
5646564,301,53,117,131
1634102,300,115,58,127
9868544,300,112,99,89
9894915,300,96,113,91
2766087,300,95,82,123
3276039,300,94,101,105
4748097,300,94,92,114
7350687,300,93,109,98
3929494,300,91,97,112
2270346,300,88,113,99
9859618,300,86,109,105
7821230,300,81,88,131
8007278,300,79,108,113
6626021,300,66,109,125
5253275,299,130,91,78
1946621,299,118,108,73
1756360,299,115,99,85
9293513,299,111,132,56
1389312,299,101,104,94
4642146,299,98,102,99
1371084,299,97,112,90
9389215,299,92,70,137
6060201,299,90,104,105
6481358,299,85,112,102
1006450,299,75,134,90
1961072,298,131,94,73
9335319,298,130,112,56
9109207,298,119,106,73
5610870,298,118,78,102
9786248,298,114,96,88
8515186,298,107,113,78
4720699,298,105,105,88
7568251,298,102,108,88
1683867,298,98,103,97
4798419,298,94,119,85
4717669,298,71,108,119
1159309,298,47,144,107
1487427,297,119,82,96
2976785,297,108,102,87
7303357,297,99,102,96
2078968,297,97,82,118
3254618,297,96,87,114
4468032,297,95,114,88
9324309,297,93,96,108
8252643,297,86,115,96
2462177,297,86,100,111
4362075,297,67,107,123
7600799,296,134,84,78
1705389,296,105,95,96
7246321,296,104,123,69
7832983,296,102,116,78
6266019,296,102,105,89
1175993,296,100,128,68
4670751,296,97,94,105
3924798,296,94,86,116
9935768,296,93,85,118
2263047,296,92,110,94
6583818,296,89,124,83
8282962,296,89,116,91
3057919,296,85,107,104
6621982,296,79,113,104
1459250,296,78,116,102
7881535,296,72,113,111
7127748,296,65,127,104
2498597,295,137,73,85
9520069,295,126,118,51
7506289,295,126,76,93
7142780,295,123,80,92
2285839,295,115,72,108
3219737,295,110,98,87
3716963,295,108,93,94
6657872,295,105,83,107
1107284,295,102,103,90
1745198,295,102,97,96
1515579,295,99,92,104
6769494,295,98,80,117
3884973,295,86,100,109
4921394,295,85,109,101
7384734,295,85,102,108
2141685,294,134,76,84
3720561,294,116,116,62
8113172,294,116,80,98
3861931,294,115,86,93
8105484,294,109,63,122
1090540,294,107,102,85
5582089,294,107,87,100
1985193,294,106,74,114
8381656,293,129,90,74
5159635,293,124,94,75
8456943,293,123,96,74
9599098,293,119,89,85
6313777,293,118,85,90
7870811,293,117,82,94
3397719,293,108,101,84
7449318,293,106,119,68
1960655,293,106,103,84
4312451,293,105,77,111
6778805,293,101,114,78
7645770,293,97,114,82
4446367,293,93,112,88
7099237,293,89,96,108
8841746,293,88,111,94
3810002,293,88,110,95
4656488,293,88,104,101
8271530,293,87,112,94
1432455,293,86,101,106
7390927,293,86,92,115
6097957,293,84,90,119
5892775,293,78,108,107
7696238,293,68,82,143
8450442,293,67,136,90
7400208,292,123,105,64
4379401,292,122,59,111
2519809,292,118,95,79
8596160,292,118,68,106
7482624,292,112,82,98
6771963,292,111,90,91
3268458,292,103,97,92
7928192,292,102,104,86
3666184,292,102,90,100
2003483,292,101,84,107
2169170,292,96,96,100
4934174,292,90,87,115
8267376,292,88,117,87
9513528,292,88,99,105
4360420,292,87,110,95
4914899,292,84,81,127
8168170,292,83,101,108
9836282,292,60,109,123
7103071,291,129,94,68
9607698,291,124,84,83
7412657,291,122,78,91
1473598,291,118,99,74
2830797,291,117,71,103
7554002,291,115,88,88
8430691,291,113,77,101
4004131,291,111,84,96
7978013,291,110,105,76
7945338,291,108,79,104
3778033,291,108,61,122
9322097,291,106,84,101
7069676,291,103,101,87
5673606,291,102,96,93
6764554,291,97,120,74
8295084,291,95,110,86
7611069,291,92,104,95
5325590,291,88,117,86
5827739,291,80,97,114
7191788,291,78,90,123
4144979,291,74,87,130
5751996,291,72,89,130
7297630,290,119,84,87
4489141,290,118,112,60
7323722,290,117,72,101
8222402,290,112,80,98
2265832,290,110,66,114
8018789,290,109,86,95
7004570,290,108,72,110
8263432,290,107,72,111
5968254,290,106,97,87
3712527,290,105,108,77
5826663,290,104,92,94
3819517,290,97,106,87
2087192,290,96,89,105
5854995,290,89,106,95
1749072,290,86,98,106
7927592,290,79,127,84
9187120,290,78,98,114
9545687,290,75,108,107
5427658,289,133,63,93
3685168,289,132,69,88
2293427,289,120,76,93
4510783,289,112,85,92
3626238,289,110,91,88
6671419,289,110,88,91
4680943,289,110,82,97
1265267,289,108,79,102
8692373,289,107,89,93
3290421,289,106,80,103
4384357,289,99,110,80
2833465,289,98,124,67
8398604,289,98,86,105
9679723,289,96,100,93
1940729,289,91,113,85
2625581,289,91,83,115
8439580,289,90,95,104
9831541,289,89,111,89
2649510,289,82,125,82
6546867,289,81,107,101
2201767,289,80,83,126
3186094,289,73,140,76
8551992,289,71,115,103
5416894,289,69,128,92
4957163,289,66,110,113
8643641,289,65,89,135
6073934,289,59,100,130
7084799,288,130,46,112
9014985,288,116,91,81
3446535,288,112,68,108
3084318,288,109,91,88
4213484,288,108,61,119
8051289,288,104,79,105
3293503,288,98,103,87
6601385,288,96,107,85
5806426,288,93,86,109
2390219,288,92,104,92
6551342,288,82,122,84
1832144,288,79,101,108
2083719,288,77,108,103
6327618,288,65,96,127
2539774,287,126,78,83
6992191,287,120,83,84
2306564,287,117,72,98
4131236,287,115,82,90
7273656,287,114,76,97
6801126,287,112,120,55
5477561,287,112,80,95
1094811,287,105,92,90
8642960,287,103,92,92
1778954,287,93,106,88
1421109,287,93,103,91
3932656,287,92,115,80
9249841,287,92,102,93
2644042,287,90,95,102
9713331,287,84,104,99
1769626,287,83,78,126
6747665,287,82,117,88
9269199,287,82,79,126
6243323,287,76,91,120
2767706,287,74,93,120
3857551,287,70,113,104
1401570,287,65,104,118
7154513,286,123,72,91
4897300,286,111,85,90
9416634,286,109,110,67
7864272,286,107,89,90
7914312,286,107,73,106
1421693,286,104,80,102
6725462,286,100,83,103
3391371,286,98,118,70
9865877,286,98,95,93
6341652,286,98,91,97
1559700,286,94,66,126
4790246,286,86,101,99
6656293,286,79,78,129
6744867,286,68,120,98
8055972,285,113,66,106
7515814,285,107,57,121
6344337,285,103,94,88
1308288,285,101,108,76
