StudentID,TotalScore,Chinese,Math,English
8018789,290,109,86,95
6969056,279,95,88,96
7516393,245,72,101,72
1152254,224,92,44,88
5211922,197,75,57,65
1468541,201,89,81,31
4019635,174,73,71,30
8751640,255,83,73,99
3746874,191,44,73,74
9453131,183,61,42,80
1715839,147,81,47,19
2645230,199,80,52,67
8388604,222,78,46,98
4589217,235,71,86,78
2123062,183,59,71,53
1790593,183,79,40,64
9988776,238,67,89,82
9452286,178,90,54,34
6609691,193,39,85,69
2451463,263,76,84,103
9393110,220,64,74,82
9863186,202,90,89,23
7967613,235,63,100,72
7306093,199,52,44,103
6754902,309,117,107,85
5513976,173,16,68,89
1060452,260,69,115,76
7536354,210,65,59,86
2797749,271,127,88,56
1372537,249,92,66,91
2716492,204,47,70,87
9264778,185,72,63,50
8869800,194,58,101,35
4836268,145,52,27,66
4017350,174,47,36,91
9005680,213,77,90,46
9673321,223,85,60,78
9695112,264,64,91,109
7283592,211,63,80,68
1464053,183,83,49,51
5138903,262,99,96,67
5188085,198,95,63,40
2576189,278,95,98,85
4708182,258,101,74,83
9253644,211,75,40,96
9886852,198,82,69,47
9857647,166,41,80,45
3196238,146,50,50,46
4188619,168,75,59,34
2488344,240,107,45,88
3945512,209,72,81,56
2210987,202,89,72,41
5015632,193,64,85,44
7760330,199,49,68,82
5430796,242,58,58,126
6433346,189,68,58,63
3663437,223,66,67,90
9621672,220,79,72,69
2990749,178,61,76,41
3144307,257,101,75,81
9051828,219,74,84,61
8134033,162,67,70,25
9652261,268,72,117,79
5727434,207,70,72,65
4758046,220,67,51,102
6069850,219,76,62,81
3563853,249,69,78,102
4681169,197,64,66,67
7817301,232,64,77,91
2735072,276,84,119,73
2288027,227,53,84,90
1645160,208,62,67,79
3731721,213,73,46,94
6477554,188,40,74,74
9226945,232,86,46,100
4432047,215,81,70,64
9426860,250,70,87,93
3222650,183,50,77,56
8187606,178,55,46,77
4970755,219,88,66,65
1784043,229,75,50,104
5768978,215,76,83,56
7580056,190,39,77,74
7811632,194,74,45,75
2988639,321,123,86,112
4790424,203,80,34,89
2090444,241,79,93,69
6000413,260,84,63,113
7452488,222,79,82,61
7248961,204,42,70,92
6671419,289,110,88,91
2287587,260,69,58,133
5388596,196,64,78,54
6752968,234,46,106,82
7162530,224,55,104,65
7179064,245,75,100,70
7846245,264,108,60,96
2536026,205,48,91,66
1949006,260,76,101,83
8739337,221,94,73,54
5625061,211,75,67,69
8030110,181,65,38,78
2006800,222,108,46,68
3852773,282,90,86,106
2145750,213,74,80,59
9661665,172,32,68,72
7543660,277,70,106,101
4227577,197,45,79,73
5526451,217,83,112,22
6340368,325,102,111,112
3333678,252,96,69,87
5155882,190,64,66,60
3325850,236,63,75,98
6542958,188,52,74,62
7693643,247,80,94,73
9058395,234,81,80,73
7107144,239,91,66,82
8898154,191,59,57,75
1540869,267,83,75,109
9955266,210,68,65,77
6938736,241,103,36,102
7722631,183,61,41,81
5820359,255,95,85,75
5976983,175,30,70,75
5856580,183,72,45,66
7260810,205,81,57,67
2722436,226,86,72,68
3907683,264,120,53,91
2662017,265,85,106,74
4327635,217,67,82,68
9192076,200,39,85,76
2885658,235,64,95,76
3467294,238,76,60,102
3756747,266,63,115,88
5299214,201,70,83,48
8133366,167,23,74,70
6210652,153,74,47,32
2080243,177,63,38,76
9805170,208,61,59,88
5433099,180,49,61,70
9538328,213,50,87,76
6634304,183,70,75,38
3827299,200,61,77,62
1517617,214,35,88,91
9051615,216,47,86,83
1160707,226,76,79,71
9534287,213,98,72,43
1592436,218,57,85,76
9507092,250,77,94,79
5755605,263,76,88,99
5674013,279,97,106,76
8125328,220,39,88,93
5854995,290,89,106,95
8691671,315,107,97,111
7490356,303,100,90,113
5751262,184,72,77,35
6999729,224,99,53,72
7224784,184,53,68,63
5523071,195,89,55,51
2046740,276,82,96,98
2106101,212,66,73,73
5986917,199,65,67,67
2935741,232,81,93,58
1119972,213,88,74,51
8846602,266,103,100,63
4578470,268,94,99,75
4254795,236,100,72,64
9981495,194,36,101,57
9437773,222,56,81,85
5646564,301,53,117,131
3161733,176,58,98,20
2459291,193,66,54,73
8042148,253,85,85,83
8774940,216,77,68,71
4552183,227,67,91,69
9135810,226,85,52,89
3667074,198,75,68,55
5730296,278,90,105,83
6446333,176,58,52,66
8439580,289,90,95,104
2118112,194,89,41,64
6557649,227,68,77,82
7695942,191,85,68,38
5834474,252,70,100,82
1165906,208,69,60,79
1292308,207,67,79,61
6325009,222,62,72,88
6775377,259,115,63,81
7875239,266,68,76,122
6935040,240,62,84,94
6268409,194,70,63,61
3394769,273,94,87,92
9805055,189,65,68,56
9782166,188,65,37,86
8562227,261,101,75,85
5543218,281,83,135,63
9117555,241,46,93,102
9304249,236,64,72,100
9448745,252,88,80,84
2218346,280,86,112,82
7022284,223,82,63,78
4211932,196,73,64,59
2231196,232,80,72,80
7045942,227,74,85,68
8803411,259,120,60,79
1094811,287,105,92,90
1987447,169,54,79,36
8870692,178,65,65,48
3989263,200,58,62,80
2017473,194,73,49,72
5582089,294,107,87,100
3165354,242,119,39,84
7392873,237,96,69,72
9301547,149,66,46,37
8877458,233,91,77,65
3236081,244,75,66,103
4081359,260,82,109,69
3824452,279,91,101,87
9144123,240,76,80,84
1109925,193,50,64,79
3884598,275,107,60,108
1144105,193,72,70,51
7054224,281,72,88,121
4776974,252,71,83,98
2223557,225,76,65,84
7976211,234,62,74,98
3803686,205,39,84,82
9321648,183,45,86,52
8069831,231,81,68,82
5853684,200,61,52,87
3553030,173,68,39,66
1900389,219,91,63,65
3661568,241,77,69,95
2160994,209,73,60,76
1540368,206,35,73,98
7910460,309,121,100,88
7307958,174,80,50,44
3439735,180,54,73,53
1750791,170,75,48,47
2499630,222,93,70,59
5833727,180,69,41,70
2761354,251,71,65,115
2380597,213,71,77,65
4668683,160,53,72,35
9944289,235,78,60,97
9758128,220,78,72,70
6170442,185,73,67,45
4217557,196,69,54,73
5720937,243,81,88,74
3244064,206,86,36,84
1725488,216,73,63,80
7224412,235,99,53,83
6791555,226,102,68,56
3397719,293,108,101,84
2158324,258,69,81,108
7001336,258,66,103,89
2216708,244,88,89,67
3527108,226,56,68,102
2828781,217,84,85,48
9793577,210,95,55,60
7752935,198,40,97,61
6102470,164,46,64,54
1424091,194,51,50,93
3138410,247,90,46,111
1616418,270,120,68,82
3468615,236,81,60,95
5182728,221,55,80,86
7926374,304,105,107,92
4711424,192,75,84,33
7158336,222,63,72,87
5023035,173,47,43,83
4882111,142,29,68,45
7713826,212,70,69,73
3474082,246,79,121,46
6416961,234,102,89,43
2017327,187,71,63,53
3355378,244,61,92,91
4065632,258,103,80,75
9966386,348,130,108,110
6380497,209,54,77,78
9023963,228,56,85,87
6447008,304,112,95,97
7732709,222,100,53,69
5056981,248,62,95,91
3670492,229,80,80,69
9211665,274,68,104,102
7079575,254,67,102,85
7864815,257,103,56,98
1065786,248,57,77,114
9792026,256,75,85,96
4606856,241,104,85,52
8963620,234,71,57,106
5673606,291,102,96,93
2646788,265,94,93,78
1785519,205,53,61,91
9230049,275,75,96,104
9773034,190,51,66,73
4096458,237,92,69,76
1925030,225,102,56,67
9017465,262,95,76,91
4262541,197,61,67,69
5213755,188,92,37,59
2011699,220,89,38,93
7362179,195,65,68,62
7739586,173,63,65,45
7151995,283,86,105,92
8545276,205,92,79,34
4016843,218,71,61,86
5150610,219,73,58,88
5289041,211,93,40,78
2605775,230,35,103,92
5980147,219,76,76,67
7373509,196,53,67,76
4750044,255,84,91,80
4527459,263,92,116,55
1416943,240,54,100,86
1020635,238,106,72,60
6636660,186,55,50,81
7812174,229,60,47,122
1273414,240,74,77,89
2852180,234,77,80,77
9930475,251,116,97,38
3980001,213,56,58,99
7889977,199,60,81,58
6887591,231,86,87,58
1736155,218,95,33,90
5972105,168,72,70,26
1714785,182,49,63,70
2153694,168,60,53,55
8641271,267,105,97,65
5970093,252,71,87,94
1356158,250,113,64,73
1486878,222,93,64,65
2228376,162,42,66,54
4068865,225,91,59,75
6550030,250,96,73,81
9628613,224,55,85,84
8744912,219,72,66,81
9099246,183,48,74,61
5316919,190,71,79,40
9453542,224,92,69,63
7727769,225,80,70,75
5808749,170,30,56,84
3095186,180,34,63,83
7674106,225,74,104,47
7887000,214,50,78,86
5064828,242,72,68,102
8329880,264,80,97,87
4984869,177,70,51,56
5816499,182,67,37,78
3113383,253,112,81,60
2881977,179,91,47,41
3355509,197,87,42,68
8257928,195,92,47,56
9414700,225,113,44,68
7881179,250,100,73,77
2130103,203,59,79,65
9784209,188,80,69,39
8255604,221,69,72,80
6055454,225,48,70,107
6247806,224,76,40,108
6808107,211,40,70,101
5798112,228,71,92,65
9898069,183,61,83,39
2199116,193,62,54,77
5366279,182,72,44,66
2595664,235,95,87,53
3852436,255,55,102,98
8750135,184,74,56,54
6367208,200,86,54,60
4613545,261,85,77,99
3112214,250,88,75,87
7238446,211,92,43,76
6054429,251,100,72,79
4224971,217,69,108,40
1925031,209,51,66,92
9884771,202,60,58,84
8132552,269,83,90,96
6671967,262,99,111,52
9827631,212,62,80,70
6467823,197,61,88,48
2599071,185,51,58,76
9407144,252,94,79,79
1352629,167,53,43,71
4160870,209,53,92,64
7510445,243,93,63,87
3754008,250,71,131,48
8302140,216,82,64,70
6656677,249,99,83,67
8496833,201,60,55,86
4451335,215,61,74,80
9573890,207,79,81,47
3901570,195,70,59,66
1795647,220,99,56,65
6275907,244,76,86,82
1505863,236,92,69,75
6530075,200,83,52,65
3413672,171,52,71,48
2519666,238,129,66,43
6693310,274,95,95,84
3586243,249,63,115,71
9327208,271,88,93,90
3843219,261,87,102,72
5462939,229,71,63,95
3149309,182,67,36,79
5179389,235,68,80,87
3729289,220,55,89,76
3571586,215,71,61,83
4098119,237,99,65,73
8623858,246,80,77,89
7516463,267,72,97,98
7457105,216,78,78,60
5217666,233,81,92,60
5372756,204,40,80,84
5437819,260,91,92,77
3839653,271,86,73,112
7191404,255,89,74,92
8088920,262,61,102,99
6626021,300,66,109,125
7369591,173,36,74,63
9235005,182,65,57,60
6086112,250,80,110,60
6839718,178,70,70,38
8844321,189,78,53,58
9108093,249,70,47,132
2188882,227,78,80,69
2075358,215,81,84,50
5843744,216,89,66,61
1924313,203,73,81,49
9012881,240,101,83,56
7733654,201,54,86,61
5289324,251,83,75,93
6919054,269,95,99,75
6266019,296,102,105,89
7978769,145,19,76,50
4611847,233,91,82,60
4836351,228,46,103,79
5714491,212,76,82,54
3421063,242,74,77,91
1304048,253,94,76,83
4601013,223,100,76,47
3489531,203,85,55,63
7672672,205,45,93,67
1760554,216,78,48,90
2115774,204,49,95,60
7255271,264,95,80,89
6352175,175,26,78,71
5969002,236,99,49,88
5749243,206,50,63,93
2018573,254,76,95,83
3316032,204,89,71,44
1458862,212,69,76,67
5827739,291,80,97,114
8854941,196,77,70,49
9694097,167,49,65,53
7878285,183,73,25,85
2332175,225,72,63,90
9476701,248,83,72,93
4854880,182,51,68,63
1958865,195,52,77,66
4688330,177,78,46,53
1355588,224,76,62,86
9338651,221,65,54,102
