n, Brute Force Time (s), Dynamic Programming Time (s)
5, 0.000000, 0.000001
6, 0.000000, 0.000001
7, 0.000000, 0.000001
8, 0.000000, 0.000001
9, 0.001100, 0.000001
10, 0.001202, 0.000001
11, 0.004182, 0.000001
12, 0.010004, 0.000001
13, 0.017995, 0.000999
14, 0.036745, 0.000001
15, 0.074250, 0.000001
16, 0.153897, 0.001007
17, 0.364388, 0.001001
18, 0.743041, 0.000001
19, 1.502744, 0.000001
20, 3.113919, 0.001295
21, 6.568061, 0.001132
22, 14.243488, 0.001122
23, 29.157840, 0.000973
24, 65.913236, 0.001524
25, 139.563856, 0.001492
